TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID,is_fraud,Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category,transaction_hour
2020-06-01,TXN00000011,A00007952,PLC00003007,2019-03-30,2020-05-20,2020-05-25,Life,61.45,92000.0,Janet Watts,200 Redwood Road,0,Manchester,CT,6040.0,233-66-3524,N,59.0,14.0,Y,7.0,M,Mortgage,MI,58804083.0,CQZQ73037026635053,Masters,A,Major Loss,Ambulance,1.0,1.0,MD,Crofton,23.0,AGENT01091,VNDR00163,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000012,A00006313,PLC00002139,2016-07-22,2020-05-21,2020-05-26,Motor,101.15,8000.0,Patricia Garrett,6721 Boundary Run,0,Nashville,TN,37221.0,224-80-1633,Y,42.0,39.0,Y,2.0,H,Own,HI,11697253.0,YGZM08271540598654,High School,D,Major Loss,Ambulance,1.0,1.0,CT,Manchester,3.0,AGENT00288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000013,A00003693,PLC00007839,2019-06-12,2020-05-24,2020-05-27,Health,157.95,11000.0,Lisa Rosario,12870 Old Seward Highway,#STE 000105,Anchorage,AK,99515.0,115-30-1247,Y,57.0,118.0,Y,3.0,M,Mortgage,LI,74438433.0,NAUY34845981013549,Bachelor,A,Major Loss,0,0.0,1.0,KY,Louisville,22.0,AGENT00015,VNDR00191,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000014,A00007988,PLC00002521,2020-01-29,2020-05-18,2020-05-23,Life,64.16,51000.0,Felicita Stoughton,110 Oxford Road,0,Savannah,GA,31419.0,170-28-1062,N,31.0,118.0,Y,7.0,L,Own,LI,64537739.0,GIOA39230059052323,High School,A,Total Loss,Ambulance,1.0,0.0,AK,Anchorage,0.0,AGENT01094,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000015,A00005617,PLC00007011,2015-06-08,2020-05-20,2020-05-25,Mobile,6.76,700.0,David Pennington,210 Seaman,0,McCrory,AR,72101.0,519-11-2464,Y,55.0,90.0,Y,6.0,L,Mortgage,HI,93703880.0,LDQH95350551363442,PhD,A,Major Loss,Police,1.0,1.0,CO,Arvada,11.0,AGENT00324,VNDR00135,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000016,A00008033,PLC00008152,2011-01-25,2020-05-12,2020-05-17,Motor,128.73,9000.0,William Halcomb,5124 E Street Southeast,0,Washington,DC,20019.0,142-09-4530,Y,57.0,48.0,Y,2.0,L,Rent,LI,115671968.0,KNLE94705483907630,0,A,Minor Loss,Police,0.0,1.0,AR,Fayetteville,22.0,AGENT00608,VNDR00051,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000017,A00007184,PLC00000118,2014-04-17,2020-05-13,2020-05-18,Property,114.42,39000.0,Michael Kimball,42 Edison Road,0,Manchester,CT,6040.0,448-54-0272,Y,53.0,19.0,Y,5.0,M,Mortgage,MI,71737399.0,XHMQ62339445289593,Bachelor,A,Major Loss,Other,0.0,1.0,DC,Washington,2.0,AGENT00911,VNDR00238,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000018,A00007426,PLC00000165,2015-03-25,2020-05-22,2020-05-25,Property,157.18,40000.0,Mark Huang,9545 West 74th Avenue,0,Arvada,CO,80005.0,696-53-5272,Y,32.0,106.0,Y,4.0,L,Mortgage,HI,47797949.0,AAET31045958150067,Bachelor,A,Major Loss,Police,0.0,1.0,AL,Montgomery,14.0,AGENT00079,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000019,A00009265,PLC00000619,2017-11-03,2020-05-27,2020-05-28,Motor,116.55,8000.0,Marshall Worm,119 Oakland Street,0,Manchester,CT,6042.0,848-09-7847,N,45.0,69.0,Y,4.0,H,Mortgage,MI,117427424.0,WGFI36482098909043,High School,A,Total Loss,Ambulance,0.0,1.0,MA,Fitchburg,20.0,AGENT00994,VNDR00107,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000020,A00005314,PLC00001411,2013-11-08,2020-05-17,2020-05-22,Life,77.17,68000.0,Mary Carmona,643 Farragut Street Northwest,0,Washington,DC,20011.0,614-24-5584,Y,59.0,119.0,Y,5.0,M,Mortgage,MI,32494684.0,GYVA20207571838807,High School,A,Total Loss,0,1.0,1.0,CO,Arvada,1.0,AGENT00490,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000021,A00004720,PLC00003338,2015-07-10,2020-05-30,2020-05-30,Health,155.23,17000.0,Stacey Lopez,10 Skyline Way,0,Hartford,VT,5001.0,889-29-6243,Y,51.0,51.0,Y,6.0,L,Own,MI,95548658.0,VRFH55935817723257,High School,A,Total Loss,Other,1.0,0.0,CO,Arvada,3.0,AGENT00446,VNDR00215,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000022,A00004728,PLC00004242,2017-01-19,2020-05-26,2020-05-28,Mobile,9.15,300.0,David Goodman,1358 Scenic Avenue,R B,Berkeley,CA,94708.0,272-95-9193,N,51.0,101.0,Y,4.0,L,Rent,LI,74148888.0,EFWW85075225830509,Masters,A,Major Loss,Ambulance,0.0,1.0,DC,Washington,18.0,AGENT00379,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000023,A00001482,PLC00007915,2011-12-29,2020-05-28,2020-05-29,Life,81.45,80000.0,Doris Yazzie,17109 Guava Avenue,0,Panama City Beach,FL,32413.0,258-50-0636,N,44.0,49.0,Y,4.0,L,Rent,MI,20968245.0,XHTX98098767352371,Bachelor,A,Major Loss,Ambulance,1.0,1.0,CA,Woodland,7.0,AGENT00302,VNDR00375,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000024,A00001719,PLC00000786,2015-06-20,2020-05-22,2020-05-25,Property,153.04,10000.0,Matt Mattis,1040 West 27th Avenue,#APT 000401,Anchorage,AK,99503.0,438-64-3416,Y,64.0,81.0,N,7.0,M,Rent,MI,71782933.0,NJKK70954001222323,0,A,Total Loss,0,0.0,0.0,CO,Arvada,22.0,AGENT00266,VNDR00585,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000025,A00000138,PLC00009960,2011-10-29,2020-05-17,2020-05-22,Property,120.31,30000.0,Roberto Trudel,110 Oxford Road,0,Savannah,GA,31419.0,119-15-1075,Y,47.0,60.0,Y,5.0,L,Mortgage,MI,13763486.0,GDUZ05112182575401,Bachelor,A,Minor Loss,Police,1.0,0.0,FL,Lynn Haven,10.0,AGENT00947,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000026,A00001186,PLC00007391,2018-03-18,2020-05-27,2020-05-28,Property,87.09,37000.0,Brian Conley,1742 Allerford Drive,0,Hanover,MD,21076.0,786-93-0182,Y,47.0,95.0,Y,5.0,H,Mortgage,MI,129853109.0,RKGB68336454670370,Bachelor,A,Minor Loss,Police,1.0,1.0,TN,Nashville,13.0,AGENT00070,VNDR00051,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000027,A00006946,PLC00009230,2011-12-30,2020-05-14,2020-05-19,Health,130.78,17000.0,Barbara Clouthier,4329 Howe Street,0,Oakland,CA,94611.0,363-11-4142,Y,26.0,28.0,Y,3.0,L,Rent,MI,96206630.0,TTLB31669942391037,PhD,A,Total Loss,Police,1.0,1.0,GA,Savannah,11.0,AGENT00739,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000028,A00004112,PLC00003274,2014-06-23,2020-05-28,2020-05-29,Health,119.4,19000.0,Elbert Felix,780 South Wilmington Avenue,#107,Fayetteville,AR,72701.0,438-24-0006,Y,57.0,85.0,Y,3.0,L,Own,HI,99964979.0,TPIY02608088603933,Masters,A,Minor Loss,Police,0.0,0.0,MA,Quincy,0.0,AGENT01169,VNDR00310,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000029,A00004865,PLC00007448,2016-08-29,2020-05-20,2020-05-25,Property,159.2,37000.0,Ronald Shaver,4339 Oak Street,0,Montgomery,AL,36105.0,892-06-1080,Y,43.0,32.0,N,3.0,L,Own,LI,125180326.0,POCQ85673947426778,Bachelor,A,Minor Loss,0,0.0,1.0,MD,Pasadena,7.0,AGENT00431,VNDR00339,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000030,A00002422,PLC00005607,2019-06-29,2020-05-18,2020-05-23,Mobile,8.32,600.0,Lauren Loftin,1536 Rachaels Ridge,0,Nashville,TN,37076.0,708-10-7356,N,58.0,49.0,Y,4.0,M,Own,HI,94974294.0,RUQN45743921948489,Bachelor,A,Major Loss,Police,0.0,1.0,CO,Arvada,19.0,AGENT00546,VNDR00233,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000031,A00003691,PLC00009902,2010-07-03,2020-05-14,2020-05-19,Health,147.7,13000.0,Mildred Whitten,6225 West Citrus Way,0,Glendale,AZ,85301.0,571-86-2413,N,25.0,117.0,Y,7.0,M,Rent,MI,49391929.0,EDWX65101648714154,PhD,A,Major Loss,Ambulance,1.0,0.0,CO,Arvada,3.0,AGENT00531,VNDR00249,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000032,A00006915,PLC00008459,2016-01-26,2020-05-20,2020-05-25,Property,124.45,15000.0,Alyssa Bowen,57 Bremer Drive,0,Glen Burnie,MD,21061.0,324-12-8749,N,41.0,106.0,Y,4.0,L,Rent,LI,47677166.0,POTY61852082916542,Bachelor,A,Minor Loss,Ambulance,1.0,1.0,AL,Montgomery,22.0,AGENT01134,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000033,A00009130,PLC00009575,2013-03-28,2020-05-26,2020-05-28,Life,51.18,27000.0,James Hendrickson,1010 M Street Northwest,0,Washington,DC,20001.0,121-18-2947,Y,33.0,28.0,Y,7.0,M,Mortgage,LI,84128597.0,GVKB17765236114559,PhD,A,Minor Loss,Police,1.0,1.0,KY,Louisville,0.0,AGENT00552,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000034,A00001581,PLC00002330,2012-05-24,2020-05-25,2020-05-28,Mobile,8.38,100.0,Brent Lusk,33 Pond Avenue,#804,Brookline,MA,2445.0,884-70-6944,N,64.0,100.0,Y,5.0,L,Own,LI,26944098.0,TVMN53017065329095,Bachelor,A,Minor Loss,Other,1.0,1.0,CT,Manchester,17.0,AGENT00623,VNDR00045,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000035,A00007890,PLC00005354,2014-08-13,2020-05-17,2020-05-22,Life,95.16,74000.0,Charles Johnson,2708 Mabel Street,M,Berkeley,CA,94702.0,400-09-6992,N,26.0,51.0,Y,2.0,L,Mortgage,LI,48917333.0,XJBP78174504296161,College,A,Major Loss,0,1.0,1.0,KY,Louisville,13.0,AGENT00313,VNDR00226,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000036,A00003536,PLC00003499,2013-02-14,2020-05-13,2020-05-18,Life,66.73,69000.0,Gloria Davis,8642 Yule Street,0,Arvada,CO,80007.0,609-62-9979,Y,30.0,100.0,Y,3.0,M,Mortgage,MI,52371279.0,MLQQ52836833984394,Masters,A,Minor Loss,Ambulance,1.0,0.0,MD,Pasadena,7.0,AGENT00886,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000037,A00008207,PLC00008260,2017-06-22,2020-05-17,2020-05-22,Mobile,8.27,300.0,Irene Metcalf,105 Ridgecrest Court,0,Panama City,FL,32405.0,528-09-1289,Y,57.0,104.0,Y,4.0,L,Rent,MI,68178220.0,QVVL37112428156552,Bachelor,A,Minor Loss,Police,1.0,1.0,FL,Panama City,8.0,AGENT00690,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000038,A00003348,PLC00009265,2018-02-28,2020-05-30,2020-05-30,Life,50.3,18000.0,Patsy Cantu,450 C Street,0,Hayward,CA,94541.0,003-13-0404,Y,30.0,35.0,Y,5.0,M,Own,MI,120615841.0,DVUO82204207227748,High School,A,Total Loss,Police,0.0,1.0,AL,Montgomery,14.0,AGENT00678,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000039,A00000014,PLC00005626,2011-12-29,2020-05-21,2020-05-26,Mobile,6.59,600.0,Louis Yang,10723 Colonial Woods Court,0,Louisville,KY,40223.0,537-94-6385,Y,26.0,108.0,Y,4.0,L,Rent,HI,108078918.0,DZZS26513735959155,Masters,A,Minor Loss,Ambulance,0.0,0.0,DC,Washington,6.0,AGENT00132,VNDR00560,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000040,A00006283,PLC00008977,2010-07-27,2020-05-18,2020-05-23,Mobile,11.04,600.0,Albert Wilkie,25 Church Street,A,Pittsfield,MA,1201.0,676-21-8617,Y,62.0,108.0,Y,5.0,H,Rent,MI,80775494.0,PEYZ72511103907481,PhD,A,Total Loss,Other,0.0,1.0,CT,Manchester,0.0,AGENT00284,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000041,A00003499,PLC00000212,2014-07-17,2020-05-23,2020-05-26,Life,86.77,34000.0,Paula Davis,3138 P Street Northwest,0,Washington,DC,20007.0,240-40-7987,N,55.0,118.0,Y,5.0,L,Mortgage,LI,16085161.0,AUZC56642432965451,High School,A,Major Loss,Ambulance,0.0,0.0,CT,Manchester,2.0,AGENT00312,VNDR00018,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000042,A00008902,PLC00006704,2015-07-06,2020-05-20,2020-05-25,Motor,89.11,2000.0,Dorothy James,161 Creek Road,0,Middlebury,VT,5753.0,070-72-6085,Y,62.0,66.0,Y,4.0,H,Own,HI,101768063.0,DNIH58931093485640,Masters,A,Minor Loss,Police,0.0,1.0,AK,Anchorage,14.0,AGENT00622,VNDR00560,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000043,A00002740,PLC00003271,2010-09-05,2020-05-18,2020-05-23,Property,140.72,35000.0,Wayne Landrum,123 Elizabeth Drive,0,Manchester,CT,6042.0,805-55-1701,Y,57.0,93.0,Y,3.0,L,Rent,HI,63890969.0,XCCN77413681932167,PhD,A,Total Loss,Police,1.0,1.0,AR,Farmington,0.0,AGENT00896,VNDR00086,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000044,A00009289,PLC00005560,2018-07-27,2020-05-22,2020-05-27,Property,129.9,18000.0,Edward Igtanloc,5038 North Cimarron Drive,0,Beverly Hills,FL,34465.0,406-18-6432,N,32.0,55.0,Y,6.0,L,Own,MI,88497800.0,TDZX14521972398113,High School,A,Minor Loss,Ambulance,1.0,1.0,OK,Oklahoma City,18.0,AGENT00744,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000045,A00007672,PLC00006003,2012-11-28,2020-05-24,2020-05-27,Life,84.99,66000.0,Cheryl Silva,1163 Rosedale Drive,0,Montgomery,AL,36107.0,304-55-2565,Y,39.0,51.0,N,3.0,L,Own,MI,52142877.0,ZWDK87915849039058,College,A,Minor Loss,Ambulance,1.0,1.0,AL,Montgomery,16.0,AGENT00617,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000046,A00000956,PLC00009442,2012-10-01,2020-05-28,2020-05-29,Travel,90.04,5000.0,Mary Cotton,5205 West Thunderbird Road,#1042,Glendale,AZ,85306.0,457-41-8492,Y,51.0,105.0,Y,2.0,M,Rent,MI,62624709.0,ESDM80770942826459,High School,A,Minor Loss,0,1.0,1.0,AR,Farmington,5.0,AGENT00969,VNDR00071,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000047,A00000134,PLC00002112,2010-12-09,2020-05-26,2020-05-28,Motor,117.72,7000.0,Harold Garcia,1004 Bellflower Street,0,Livermore,CA,94551.0,089-20-6131,N,31.0,39.0,Y,7.0,L,Rent,MI,66376794.0,SVBH69026302599270,High School,D,Major Loss,Police,0.0,0.0,CO,Arvada,0.0,AGENT00642,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000048,A00006528,PLC00006887,2017-07-28,2020-05-31,2020-05-31,Property,109.74,15000.0,Tori Mcbride,2868 Peak Road,0,Wheelock,VT,5851.0,600-66-0177,Y,31.0,42.0,Y,4.0,L,Rent,LI,25506152.0,HPNJ35229119468476,High School,D,Minor Loss,0,0.0,1.0,VT,Richmond,2.0,AGENT00845,VNDR00009,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000049,A00008607,PLC00003012,2018-09-09,2020-05-29,2020-05-30,Mobile,9.05,300.0,Bertha Roseman,9912 Shirewick Way,0,Louisville,KY,40272.0,833-27-9802,N,56.0,115.0,Y,5.0,M,Mortgage,HI,37023694.0,IXWO46656763995594,Bachelor,A,Major Loss,Ambulance,1.0,1.0,DC,Washington,22.0,AGENT00580,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000050,A00004589,PLC00003093,2016-05-07,2020-05-23,2020-05-26,Motor,116.99,10000.0,Travis Louis,6988 West Blackhawk Drive,0,Glendale,AZ,85308.0,099-80-2815,N,51.0,88.0,Y,7.0,M,Own,MI,60549064.0,KMUD72296439165444,College,A,Minor Loss,Ambulance,0.0,0.0,AZ,Glendale,13.0,AGENT00697,VNDR00488,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000051,A00002074,PLC00003805,2015-03-15,2020-05-13,2020-05-18,Mobile,11.04,400.0,Marion Dollyhigh,200 Edgewood Way,0,Louisville,KY,40243.0,342-01-9180,Y,49.0,20.0,N,2.0,H,Mortgage,MI,124990371.0,SNHD15581740138573,PhD,A,Total Loss,Ambulance,1.0,1.0,VT,Greensboro,22.0,AGENT00780,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000052,A00000481,PLC00001551,2017-04-07,2020-05-15,2020-05-20,Mobile,6.63,600.0,Thomas Lancon,31 Hills Point Road,0,Charlotte,VT,5445.0,113-92-5138,Y,64.0,59.0,Y,7.0,L,Own,LI,43037069.0,PJIY57215323019683,Bachelor,A,Total Loss,Other,0.0,1.0,AL,Montgomery,22.0,AGENT01183,VNDR00277,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000053,A00009041,PLC00009146,2013-05-27,2020-05-29,2020-05-30,Motor,82.82,9000.0,Wanda Ellison,812 Southwest 151st Street,0,Oklahoma City,OK,73170.0,690-70-2051,N,43.0,34.0,Y,7.0,L,Mortgage,MI,122837245.0,GOHK04433169519680,College,A,Major Loss,Ambulance,0.0,0.0,AK,Anchorage,21.0,AGENT00293,VNDR00025,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000054,A00000859,PLC00008827,2017-09-05,2020-05-27,2020-05-29,Property,104.05,16000.0,Donald Meehan,10001 Pheasant Lane,0,Oklahoma City,OK,73162.0,256-95-2029,Y,41.0,106.0,N,7.0,L,Rent,MI,88353591.0,GZRX57828572868183,Bachelor,A,Minor Loss,Ambulance,1.0,1.0,GA,Savannah,5.0,AGENT01049,VNDR00448,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000055,A00000583,PLC00005283,2011-06-29,2020-05-20,2020-05-25,Property,137.02,19000.0,Phillip Walker,7030 Cotton Blossom Lane,0,Montgomery,AL,36117.0,510-04-6704,Y,46.0,49.0,Y,3.0,M,Rent,MI,106596832.0,TWRC19045429434630,Bachelor,A,Total Loss,Ambulance,1.0,1.0,MD,Glen Burnie,9.0,AGENT00046,VNDR00445,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-02,TXN00000056,A00004719,PLC00002737,2015-04-01,2020-05-16,2020-05-21,Travel,75.99,3000.0,Claire Carter,68 Route 66,0,0,VT,5149.0,231-40-5595,Y,64.0,92.0,Y,5.0,L,Rent,HI,92470130.0,MQNM96349350027601,College,A,Total Loss,Ambulance,1.0,0.0,MA,Waltham,19.0,AGENT00224,VNDR00498,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
